context,dialogue_id,model,reference,response,annotations.overall,am_scores,fm_scores,am_fm_scores
"nani book store . how can i help you ?
do you have the'the man and the sea'by ernest hemingway ?",dailydialog-gupta_00018,CVAEf,"['we certainly do , let me find it for you .', ""i 'm not sure , let me look for you ."", ""i 'm sorry but we do n't have any copies of that right now ."", 'yes , we have one copy left .']","yes , that 's right . i have an appointment with you .",0.9579583516213044,0.9413203,0.9745964031403748,0.9579583516213044
"nani book store . how can i help you ?
do you have the'the man and the sea'by ernest hemingway ?",dailydialog-gupta_00019,dualencoder_train,"['we certainly do , let me find it for you .', ""i 'm not sure , let me look for you ."", ""i 'm sorry but we do n't have any copies of that right now ."", 'yes , we have one copy left .']","i 'm afraid not . we insist on a letter of credit , because as seller , we also have the problem of funds being tied up .",0.8460862680730291,0.84188986,0.8502826779002086,0.8460862680730291
"take a seat inside and see what you think . so you will take the porsche then , sir ?",dailydialog-gupta_00020,dualencoder_train,"[""i 'm still thinking about it ."", 'what colors does it come in ?', 'i will take the porsche .', ""yes , and i want to buy the insurance too . i think it 's necessary .""]","no , that wo n't do . i 'll take this smoked ham you have here .",0.9126148125918322,0.8782084,0.9470212263646947,0.9126148125918322
"take a seat inside and see what you think . so you will take the porsche then , sir ?",dailydialog-gupta_00021,hredf,"[""i 'm still thinking about it ."", 'what colors does it come in ?', 'i will take the porsche .', ""yes , and i want to buy the insurance too . i think it 's necessary .""]",sure .,0.9515153288816255,0.91330373,0.9897269248912417,0.9515153288816255
"take a seat inside and see what you think . so you will take the porsche then , sir ?",dailydialog-gupta_00022,seq2seqf,"[""i 'm still thinking about it ."", 'what colors does it come in ?', 'i will take the porsche .', ""yes , and i want to buy the insurance too . i think it 's necessary .""]",i do n't know . i 'll take it .,0.9271275383788629,0.88669163,0.9675634468710985,0.9271275383788629
"take a seat inside and see what you think . so you will take the porsche then , sir ?",dailydialog-gupta_00023,CVAEf,"[""i 'm still thinking about it ."", 'what colors does it come in ?', 'i will take the porsche .', ""yes , and i want to buy the insurance too . i think it 's necessary .""]",ok . i 'll be waiting for you .,0.872211759162884,0.914566,0.8298575378913501,0.872211759162884
"take a seat inside and see what you think . so you will take the porsche then , sir ?",dailydialog-gupta_00024,human,"[""i 'm still thinking about it ."", 'what colors does it come in ?', 'i will take the porsche .', ""yes , and i want to buy the insurance too . i think it 's necessary .""]",i am thinking about it can i take it for a ride ?,0.827519342970755,0.9142339,0.7408047629831359,0.827519342970755
how may i help you ?,dailydialog-gupta_00025,dualencoder_train,"['you can show me the cars', 'you can help me with this problem', 'you can tell me how to get to customer service', ""i 'm having a problem .""]",hi . i 'm tom peterson . i 'm looking for a one - bedroom apartment .,0.890569664009293,0.8156372,0.9655021567501231,0.890569664009293
how may i help you ?,dailydialog-gupta_00026,CVAEf,"['you can show me the cars', 'you can help me with this problem', 'you can tell me how to get to customer service', ""i 'm having a problem .""]",i want to return to my trial book .,0.9615708505373802,0.9355335,0.9876081775151901,0.9615708505373802
how may i help you ?,dailydialog-gupta_00027,hredf,"['you can show me the cars', 'you can help me with this problem', 'you can tell me how to get to customer service', ""i 'm having a problem .""]",i need to return a book .,0.9321025309109778,0.93025905,0.9339460128832044,0.9321025309109778
how may i help you ?,dailydialog-gupta_00028,human,"['you can show me the cars', 'you can help me with this problem', 'you can tell me how to get to customer service', ""i 'm having a problem .""]",can you help me ?,0.8583568147640204,0.93881893,0.777894697948451,0.8583568147640204
how may i help you ?,dailydialog-gupta_00029,seq2seqf,"['you can show me the cars', 'you can help me with this problem', 'you can tell me how to get to customer service', ""i 'm having a problem .""]",i 'm looking for a job .,0.9420267443064037,0.9127594,0.971294065356887,0.9420267443064037
good evening . what 'll you have ?,dailydialog-gupta_00030,hredf,"['i would like a double cheeseburger .', 'i would like a hamburger .', 'i would like a large coke .', ""i 'd like a beer . what kind of beer do you have ?""]",i 'd like a hamburger .,0.9310062753372326,0.9233986,0.9386139367447165,0.9310062753372326
good evening . what 'll you have ?,dailydialog-gupta_00031,CVAEf,"['i would like a double cheeseburger .', 'i would like a hamburger .', 'i would like a large coke .', ""i 'd like a beer . what kind of beer do you have ?""]",i have a reservation with prizes .,0.9658552393176406,0.94844806,0.983262416692227,0.9658552393176406
good evening . what 'll you have ?,dailydialog-gupta_00032,human,"['i would like a double cheeseburger .', 'i would like a hamburger .', 'i would like a large coke .', ""i 'd like a beer . what kind of beer do you have ?""]","i 'll just take a coffee , thank you .",0.9404131029942793,0.9350008,0.9458254287439907,0.9404131029942793
good evening . what 'll you have ?,dailydialog-gupta_00033,dualencoder_train,"['i would like a double cheeseburger .', 'i would like a hamburger .', 'i would like a large coke .', ""i 'd like a beer . what kind of beer do you have ?""]","a single room , preferably with a bath .",0.9295922929574658,0.870416,0.9887686003306726,0.9295922929574658
good evening . what 'll you have ?,dailydialog-gupta_00034,seq2seqf,"['i would like a double cheeseburger .', 'i would like a hamburger .', 'i would like a large coke .', ""i 'd like a beer . what kind of beer do you have ?""]",i 'm not sure .,0.9232753127475574,0.91939104,0.9271595894614844,0.9232753127475574
"you 're made a good choice . this china tea set is unusual .
where was it from ?
it was made in jingdezhen .
jingdezhen ? is n't it called'the capital of porcelain ' ?
you are right .
this is the very thing i 've been dreaming of .",dailydialog-gupta_00035,seq2seqf,"[""i 'm so glad you found what you like ."", 'it is really beautiful .', ""i 'm looking forward to your wedding ."", 'it is the best quality porcelain - the famous egg - shell china .']",i 'm glad you like it .,0.9323741467008121,0.8975531,0.9671952071208014,0.9323741467008121
"you 're made a good choice . this china tea set is unusual .
where was it from ?
it was made in jingdezhen .
jingdezhen ? is n't it called'the capital of porcelain ' ?
you are right .
this is the very thing i 've been dreaming of .",dailydialog-gupta_00036,dualencoder_train,"[""i 'm so glad you found what you like ."", 'it is really beautiful .', ""i 'm looking forward to your wedding ."", 'it is the best quality porcelain - the famous egg - shell china .']","now wash them , then dice the potatoes and bell peppers , then slice the meat .",0.8593945509047033,0.81519544,0.9035936605633739,0.8593945509047033
"you 're made a good choice . this china tea set is unusual .
where was it from ?
it was made in jingdezhen .
jingdezhen ? is n't it called'the capital of porcelain ' ?
you are right .
this is the very thing i 've been dreaming of .",dailydialog-gupta_00037,human,"[""i 'm so glad you found what you like ."", 'it is really beautiful .', ""i 'm looking forward to your wedding ."", 'it is the best quality porcelain - the famous egg - shell china .']",so will you like to have this tea set ?,0.9382098542963124,0.96009564,0.9163240645954326,0.9382098542963124
"you 're made a good choice . this china tea set is unusual .
where was it from ?
it was made in jingdezhen .
jingdezhen ? is n't it called'the capital of porcelain ' ?
you are right .
this is the very thing i 've been dreaming of .",dailydialog-gupta_00038,CVAEf,"[""i 'm so glad you found what you like ."", 'it is really beautiful .', ""i 'm looking forward to your wedding ."", 'it is the best quality porcelain - the famous egg - shell china .']",it 's so beautiful .,0.9260209633819567,0.90640235,0.9456395772918677,0.9260209633819567
"you 're made a good choice . this china tea set is unusual .
where was it from ?
it was made in jingdezhen .
jingdezhen ? is n't it called'the capital of porcelain ' ?
you are right .
this is the very thing i 've been dreaming of .",dailydialog-gupta_00039,hredf,"[""i 'm so glad you found what you like ."", 'it is really beautiful .', ""i 'm looking forward to your wedding ."", 'it is the best quality porcelain - the famous egg - shell china .']","wow , i 'm eager to hear that .",0.9311096915444377,0.9509574,0.9112619656007772,0.9311096915444377
"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .
speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .
sound great . let 's go !
look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .
true . i would like to have some salmon sashimi and a roast salmon head .",dailydialog-gupta_00040,CVAEf,"['oh wow that sounds so good', 'i think i will have the same', 'i love salmon . that sounds perfect .', 'you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .']",ok . i know what you mean . the _UNK is great .,0.8879608112296331,0.9355033,0.840418318454597,0.8879608112296331
"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .
speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .
sound great . let 's go !
look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .
true . i would like to have some salmon sashimi and a roast salmon head .",dailydialog-gupta_00041,hredf,"['oh wow that sounds so good', 'i think i will have the same', 'i love salmon . that sounds perfect .', 'you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .']",ok . let 's go .,0.9367560512685251,0.90444434,0.969067765645876,0.9367560512685251
"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .
speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .
sound great . let 's go !
look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .
true . i would like to have some salmon sashimi and a roast salmon head .",dailydialog-gupta_00042,human,"['oh wow that sounds so good', 'i think i will have the same', 'i love salmon . that sounds perfect .', 'you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .']",that sounds really good i love eating fish,0.883151926163507,0.8772629,0.8890409619881163,0.883151926163507
"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .
speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .
sound great . let 's go !
look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .
true . i would like to have some salmon sashimi and a roast salmon head .",dailydialog-gupta_00043,seq2seqf,"['oh wow that sounds so good', 'i think i will have the same', 'i love salmon . that sounds perfect .', 'you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .']",i 'll try to get it .,0.9338610213881313,0.92549646,0.9422255837689993,0.9338610213881313
"look at the show on tv . i am watching a food show at a very famous seafood restaurant . i really want to eat at that restaurant . i am a seafood lover .
speaking of seafood , my mouth is watering . let 's go to the seafood restaurant in our neighborhood .
sound great . let 's go !
look at the crystal clear fridge . you can see so many kinds of seafood in it . they all look very fresh and delicious .
true . i would like to have some salmon sashimi and a roast salmon head .",dailydialog-gupta_00044,dualencoder_train,"['oh wow that sounds so good', 'i think i will have the same', 'i love salmon . that sounds perfect .', 'you sound like a seafood expert . i would like to have some stir - fried squids and steamed shrimps .']",but i like the small mountain village . the big town is noisy . how charming it is when walking along the hill !,0.9258099107852167,0.8918584,0.9597614226560962,0.9258099107852167
where 's the toilet ?,dailydialog-gupta_00045,seq2seqf,"['down your hall on your first right .', 'its right behind you .', ""it 's near the entrance ."", 'over there .']",it 's a _UNK .,0.913184183949709,0.9007401,0.9256282808671,0.913184183949709
where 's the toilet ?,dailydialog-gupta_00046,CVAEf,"['down your hall on your first right .', 'its right behind you .', ""it 's near the entrance ."", 'over there .']",it 's in the north .,0.8811811919746848,0.9090251,0.8533373108979169,0.8811811919746848
where 's the toilet ?,dailydialog-gupta_00047,dualencoder_train,"['down your hall on your first right .', 'its right behind you .', ""it 's near the entrance ."", 'over there .']",apparently forced entry . the lock is battered to pieces .,0.8367830630680012,0.8549241,0.8186420433799599,0.8367830630680012
where 's the toilet ?,dailydialog-gupta_00048,human,"['down your hall on your first right .', 'its right behind you .', ""it 's near the entrance ."", 'over there .']","go down the hall , take the first left , and it will be at the end of a short hallway .",0.774781137077736,0.9016094,0.6479528533791047,0.774781137077736
where 's the toilet ?,dailydialog-gupta_00049,hredf,"['down your hall on your first right .', 'its right behind you .', ""it 's near the entrance ."", 'over there .']",it 's the wagon .,0.9112935657615184,0.90193594,0.92065119650259,0.9112935657615184
i 'm sorry i 'm late .,dailydialog-gupta_00050,dualencoder_train,"[""do n't worry ! it 's cool ."", ""it 's a thing that happens ."", 'why , i never ! what is this spectre before me ? !', 'better late than never .']",no kidding . time is running out .,0.8854680716773139,0.91282964,0.858106505827162,0.8854680716773139
i 'm sorry i 'm late .,dailydialog-gupta_00051,CVAEf,"[""do n't worry ! it 's cool ."", ""it 's a thing that happens ."", 'why , i never ! what is this spectre before me ? !', 'better late than never .']",you just mess up .,0.895999883067395,0.8474347,0.9445650665994201,0.895999883067395
i 'm sorry i 'm late .,dailydialog-gupta_00052,hredf,"[""do n't worry ! it 's cool ."", ""it 's a thing that happens ."", 'why , i never ! what is this spectre before me ? !', 'better late than never .']",what happened ?,0.8945074861393717,0.94626105,0.8427539239617878,0.8945074861393717
i 'm sorry i 'm late .,dailydialog-gupta_00053,human,"[""do n't worry ! it 's cool ."", ""it 's a thing that happens ."", 'why , i never ! what is this spectre before me ? !', 'better late than never .']","it 's ok , we have n't started yet .",0.8920717830863688,0.88138115,0.9027624121123738,0.8920717830863688
i 'm sorry i 'm late .,dailydialog-gupta_00054,seq2seqf,"[""do n't worry ! it 's cool ."", ""it 's a thing that happens ."", 'why , i never ! what is this spectre before me ? !', 'better late than never .']","i 'm sorry , but i 'm not sure .",0.9280974965571704,0.9217011,0.9344939194677955,0.9280974965571704
"i 'm sorry , our appointment has to be changed .",dailydialog-gupta_00055,seq2seqf,"['what exactly needs changed ?', 'what do you need to change about it ?', 'how can we change it ?', 'what a pity !']",i 'm sorry . i 'm sorry . i 'm sorry . i 'm sorry . i 'm sorry . i 'm not sure .,0.7680900014748511,0.8780796,0.6581004097680921,0.7680900014748511
"i 'm sorry , our appointment has to be changed .",dailydialog-gupta_00056,hredf,"['what exactly needs changed ?', 'what do you need to change about it ?', 'how can we change it ?', 'what a pity !']",what time does the meeting start ?,0.9397475390900892,0.9424213,0.9370737610796536,0.9397475390900892
"i 'm sorry , our appointment has to be changed .",dailydialog-gupta_00057,human,"['what exactly needs changed ?', 'what do you need to change about it ?', 'how can we change it ?', 'what a pity !']",which appointment ? i have several .,0.9671886231196911,0.9381836,0.9961936405684532,0.9671886231196911
"i 'm sorry , our appointment has to be changed .",dailydialog-gupta_00058,CVAEf,"['what exactly needs changed ?', 'what do you need to change about it ?', 'how can we change it ?', 'what a pity !']",what 's up ?,0.9451038478468272,0.9167172,0.9734905240246482,0.9451038478468272
"i 'm sorry , our appointment has to be changed .",dailydialog-gupta_00059,dualencoder_train,"['what exactly needs changed ?', 'what do you need to change about it ?', 'how can we change it ?', 'what a pity !']","oh , i am sorry , jason . i 've already got plans for friday evening . how about saturday ?",0.8338405732095215,0.93390906,0.7337720878481812,0.8338405732095215
"have you ever gotten a parking ticket ?
i 've never gotten one . have you ?
i got a ticket yesterday .",dailydialog-gupta_00060,CVAEf,"['what was it for ?', 'how much is it ?', 'do you resent you got a ticket ?', 'really ? what did you get one for ?']",you have to pay the problem .,0.9469553341669212,0.9080888,0.9858218650425216,0.9469553341669212
"have you ever gotten a parking ticket ?
i 've never gotten one . have you ?
i got a ticket yesterday .",dailydialog-gupta_00061,seq2seqf,"['what was it for ?', 'how much is it ?', 'do you resent you got a ticket ?', 'really ? what did you get one for ?']",what 's the problem ?,0.95350600152138,0.9121871,0.9948249035859729,0.95350600152138
"have you ever gotten a parking ticket ?
i 've never gotten one . have you ?
i got a ticket yesterday .",dailydialog-gupta_00062,hredf,"['what was it for ?', 'how much is it ?', 'do you resent you got a ticket ?', 'really ? what did you get one for ?']",what time does the ticket start ?,0.9015359008814076,0.89487076,0.9082010437061745,0.9015359008814076
"have you ever gotten a parking ticket ?
i 've never gotten one . have you ?
i got a ticket yesterday .",dailydialog-gupta_00063,human,"['what was it for ?', 'how much is it ?', 'do you resent you got a ticket ?', 'really ? what did you get one for ?']",where ?,0.7389218564061671,0.8985134,0.5793303360995352,0.7389218564061671
"have you ever gotten a parking ticket ?
i 've never gotten one . have you ?
i got a ticket yesterday .",dailydialog-gupta_00064,dualencoder_train,"['what was it for ?', 'how much is it ?', 'do you resent you got a ticket ?', 'really ? what did you get one for ?']",why do n't you go to see the empire state building ?,0.9406927657488788,0.88982725,0.9915582800634314,0.9406927657488788
"hi , dan . what 's new ?
where have you been ? i 've been trying to get in touch with you for two days .
i went to salt lake city on business . what 's up ?
i got fired .
how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?
it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up .",dailydialog-gupta_00065,hredf,"['was all the blame placed on you ?', 'did you see warning signs that something was off ?', 'did you try to explain yourself ?', 'what are you going to do now ?']","well , i guess you 're right .",0.9588135996008602,0.9278515,0.9897757010747367,0.9588135996008602
"hi , dan . what 's new ?
where have you been ? i 've been trying to get in touch with you for two days .
i went to salt lake city on business . what 's up ?
i got fired .
how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?
it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up .",dailydialog-gupta_00066,seq2seqf,"['was all the blame placed on you ?', 'did you see warning signs that something was off ?', 'did you try to explain yourself ?', 'what are you going to do now ?']","i 'm sorry , but i 'm not sure .",0.9621593188717789,0.9321796,0.9921390675454986,0.9621593188717789
"hi , dan . what 's new ?
where have you been ? i 've been trying to get in touch with you for two days .
i went to salt lake city on business . what 's up ?
i got fired .
how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?
it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up .",dailydialog-gupta_00067,dualencoder_train,"['was all the blame placed on you ?', 'did you see warning signs that something was off ?', 'did you try to explain yourself ?', 'what are you going to do now ?']","sounds good , and so , why do you want to work with them ?",0.8775769532657864,0.89911735,0.8560365559532647,0.8775769532657864
"hi , dan . what 's new ?
where have you been ? i 've been trying to get in touch with you for two days .
i went to salt lake city on business . what 's up ?
i got fired .
how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?
it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up .",dailydialog-gupta_00068,CVAEf,"['was all the blame placed on you ?', 'did you see warning signs that something was off ?', 'did you try to explain yourself ?', 'what are you going to do now ?']",you really should n't get a move .,0.84116293942077,0.89916503,0.7831608445474116,0.84116293942077
"hi , dan . what 's new ?
where have you been ? i 've been trying to get in touch with you for two days .
i went to salt lake city on business . what 's up ?
i got fired .
how come ? last time i saw you . you told me it was a good job , and you 'd like to take it as a career . that was only one month ago . why this sudden change ?
it 's a long story . in a word , i did n't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up .",dailydialog-gupta_00069,human,"['was all the blame placed on you ?', 'did you see warning signs that something was off ?', 'did you try to explain yourself ?', 'what are you going to do now ?']",oh that s unfortunate . what are you planning to do now,0.8937127022248195,0.92149633,0.865929072757897,0.8937127022248195
"hello , is that xiaogang li who applied for the solar studio of our college ?
yes , speaking .",dailydialog-gupta_00070,human,"['i would like to talk to you about your application .', 'would you be able to come in on monday so that we can speak in person ?', 'your application has been approved .', 'i want to know whether you will come to the interview . so have you accepted offers from other companies ?']","hi xiaogang , this is the admissions officer . how are you doing this morning ?",0.9019437662190691,0.8467016,0.9571859104288609,0.9019437662190691
"hello , is that xiaogang li who applied for the solar studio of our college ?
yes , speaking .",dailydialog-gupta_00071,dualencoder_train,"['i would like to talk to you about your application .', 'would you be able to come in on monday so that we can speak in person ?', 'your application has been approved .', 'i want to know whether you will come to the interview . so have you accepted offers from other companies ?']",do you have more than 200 employees in the company ?,0.9497322115132936,0.9196957,0.9797687476535096,0.9497322115132936
"hello , is that xiaogang li who applied for the solar studio of our college ?
yes , speaking .",dailydialog-gupta_00072,seq2seqf,"['i would like to talk to you about your application .', 'would you be able to come in on monday so that we can speak in person ?', 'your application has been approved .', 'i want to know whether you will come to the interview . so have you accepted offers from other companies ?']",what 's the problem ?,0.95350600152138,0.9121871,0.9948249035859729,0.95350600152138
"hello , is that xiaogang li who applied for the solar studio of our college ?
yes , speaking .",dailydialog-gupta_00073,CVAEf,"['i would like to talk to you about your application .', 'would you be able to come in on monday so that we can speak in person ?', 'your application has been approved .', 'i want to know whether you will come to the interview . so have you accepted offers from other companies ?']",i am calling to inform you that our company is a new company .,0.9414590268805054,0.93540716,0.9475108920483645,0.9414590268805054
"hello , is that xiaogang li who applied for the solar studio of our college ?
yes , speaking .",dailydialog-gupta_00074,hredf,"['i would like to talk to you about your application .', 'would you be able to come in on monday so that we can speak in person ?', 'your application has been approved .', 'i want to know whether you will come to the interview . so have you accepted offers from other companies ?']",what do you think of the office ?,0.9068840025092499,0.92556036,0.8882076498320376,0.9068840025092499
