dialogue_id,model,context,response,reference,annotations.overall,am_scores,fm_scores,am_fm_scores
dstc6_00373,S_13,,,,0.715735033,,,
dstc6_00374,S_14,,,,0.951512612,,,
dstc6_00375,S_15,,,,0.832127695,,,
dstc6_00376,S_16,,,,0.745705227,,,
dstc6_00377,S_17,,,,0.804130967,,,
dstc6_00378,S_18,,,,0.753973967,,,
dstc6_00379,S_19,,,,0.683156038,,,
dstc6_00380,S_00,,,,0.967650943,,,
dstc6_00381,S_01,,,,0.890268845,,,
dstc6_00382,S_02,,,,0.953215688,,,
dstc6_00383,S_03,,,,0.957279004,,,
dstc6_00384,S_04,,,,0.964461507,,,
dstc6_00385,S_05,,,,0.973054022,,,
dstc6_00386,S_06,,,,0.957279004,,,
dstc6_00387,S_07,,,,0.969068304,,,
dstc6_00388,S_08,,,,0.964461507,,,
dstc6_00389,S_09,,,,0.964461507,,,
dstc6_00390,S_10,,,,0.880147238,,,
dstc6_00391,S_11,,,,0.973054022,,,
dstc6_00392,S_12,,,,0.973054022,,,
dstc6_00393,S_13,,,,0.970113197,,,
dstc6_00394,S_14,,,,0.87962977,,,
dstc6_00395,S_15,,,,0.964461507,,,
dstc6_00396,S_16,,,,0.87962977,,,
dstc6_00397,S_17,,,,0.87962977,,,
dstc6_00398,S_18,,,,0.969068304,,,
dstc6_00399,S_19,,,,0.973054022,,,
dstc6_00400,S_00,,,,0.782410209,,,
dstc6_00401,S_01,,,,0.8164051,,,
dstc6_00402,S_02,,,,0.906235355,,,
dstc6_00403,S_03,,,,0.804968167,,,
dstc6_00404,S_04,,,,0.706435039,,,
dstc6_00405,S_05,,,,0.903763721,,,
dstc6_00406,S_06,,,,0.804968167,,,
dstc6_00407,S_07,,,,0.898412872,,,
dstc6_00408,S_08,,,,0.94220908,,,
dstc6_00409,S_09,,,,0.755832565,,,
dstc6_00410,S_10,,,,0.689444478,,,
dstc6_00411,S_11,,,,0.76839774,,,
dstc6_00412,S_12,,,,0.942461759,,,
dstc6_00413,S_13,,,,0.964775502,,,
dstc6_00414,S_14,,,,0.835419961,,,
dstc6_00415,S_15,,,,0.793480842,,,
dstc6_00416,S_16,,,,0.825768918,,,
dstc6_00417,S_17,,,,0.883580707,,,
dstc6_00418,S_18,,,,0.89692659,,,
dstc6_00419,S_19,,,,0.959266974,,,
dstc6_00420,S_00,,,,0.702716144,,,
dstc6_00421,S_01,,,,0.693594817,,,
dstc6_00422,S_02,,,,0.716239953,,,
dstc6_00423,S_03,,,,0.700269007,,,
dstc6_00424,S_04,,,,0.670150427,,,
dstc6_00425,S_05,,,,0.691146177,,,
dstc6_00426,S_06,,,,0.700269007,,,
dstc6_00427,S_07,,,,0.680666459,,,
dstc6_00428,S_08,,,,0.693594817,,,
dstc6_00429,S_09,,,,0.762908498,,,
dstc6_00430,S_10,,,,0.709230858,,,
dstc6_00431,S_11,,,,0.722458728,,,
dstc6_00432,S_12,,,,0.757761356,,,
dstc6_00433,S_13,,,,0.735409381,,,
dstc6_00434,S_14,,,,0.804318478,,,
dstc6_00435,S_15,,,,0.871884843,,,
dstc6_00436,S_16,,,,0.772814353,,,
dstc6_00437,S_17,,,,0.804318478,,,
dstc6_00438,S_18,,,,0.819951607,,,
dstc6_00439,S_19,,,,0.683156038,,,
dstc6_00440,S_00,,,,0.917556177,,,
dstc6_00441,S_01,,,,0.920268784,,,
dstc6_00442,S_02,,,,0.932167142,,,
dstc6_00443,S_03,,,,0.929075875,,,
dstc6_00444,S_04,,,,0.711678186,,,
dstc6_00445,S_05,,,,0.867723682,,,
dstc6_00446,S_06,,,,0.929075875,,,
dstc6_00447,S_07,,,,0.72196318,,,
dstc6_00448,S_08,,,,0.920268784,,,
dstc6_00449,S_09,,,,0.797455455,,,
dstc6_00450,S_10,,,,0.917556177,,,
dstc6_00451,S_11,,,,0.847818682,,,
dstc6_00452,S_12,,,,0.868000353,,,
dstc6_00453,S_13,,,,0.910750767,,,
dstc6_00454,S_14,,,,0.816811458,,,
dstc6_00455,S_15,,,,0.910750767,,,
dstc6_00456,S_16,,,,0.816811458,,,
dstc6_00457,S_17,,,,0.906282713,,,
dstc6_00458,S_18,,,,0.816811458,,,
dstc6_00459,S_19,,,,0.714992067,,,
dstc6_00460,S_00,,,,0.719609181,,,
dstc6_00461,S_01,,,,0.730215067,,,
dstc6_00462,S_02,,,,0.742308663,,,
dstc6_00463,S_03,,,,0.933737895,,,
dstc6_00464,S_04,,,,0.936034017,,,
dstc6_00465,S_05,,,,0.725120913,,,
dstc6_00466,S_06,,,,0.933737895,,,
dstc6_00467,S_07,,,,0.729154285,,,
dstc6_00468,S_08,,,,0.776406118,,,
dstc6_00469,S_09,,,,0.707001266,,,
dstc6_00470,S_10,,,,0.834988964,,,
dstc6_00471,S_11,,,,0.738428372,,,
dstc6_00472,S_12,,,,0.902552332,,,
dstc6_00473,S_13,,,,0.720613403,,,
dstc6_00474,S_14,,,,0.80760444,,,
dstc6_00475,S_15,,,,0.938371124,,,
dstc6_00476,S_16,,,,0.846142689,,,
dstc6_00477,S_17,,,,0.80760444,,,
dstc6_00478,S_18,,,,0.762524148,,,
dstc6_00479,S_19,,,,0.990713033,,,
dstc6_00480,S_00,,,,0.750763474,,,
dstc6_00481,S_01,,,,0.716265989,,,
dstc6_00482,S_02,,,,0.814764689,,,
dstc6_00483,S_03,,,,0.965421782,,,
dstc6_00484,S_04,,,,0.952770636,,,
dstc6_00485,S_05,,,,0.965421782,,,
dstc6_00486,S_06,,,,0.965421782,,,
dstc6_00487,S_07,,,,0.881122452,,,
dstc6_00488,S_08,,,,0.821530584,,,
dstc6_00489,S_09,,,,0.949887257,,,
dstc6_00490,S_10,,,,0.881171163,,,
dstc6_00491,S_11,,,,0.932423128,,,
dstc6_00492,S_12,,,,0.930288575,,,
dstc6_00493,S_13,,,,0.709106919,,,
dstc6_00494,S_14,,,,0.94444906,,,
dstc6_00495,S_15,,,,0.894926178,,,
dstc6_00496,S_16,,,,0.951369493,,,
dstc6_00497,S_17,,,,0.960945169,,,
dstc6_00498,S_18,,,,0.955371064,,,
dstc6_00499,S_19,,,,0.879797565,,,
dstc6_00500,S_00,,,,0.746401926,,,
dstc6_00501,S_01,,,,0.74773502,,,
dstc6_00502,S_02,,,,0.922478863,,,
dstc6_00503,S_03,,,,0.880821407,,,
dstc6_00504,S_04,,,,0.711707217,,,
dstc6_00505,S_05,,,,0.703339663,,,
dstc6_00506,S_06,,,,0.880821407,,,
dstc6_00507,S_07,,,,0.703562521,,,
dstc6_00508,S_08,,,,0.869456804,,,
dstc6_00509,S_09,,,,0.932841842,,,
dstc6_00510,S_10,,,,0.71560148,,,
dstc6_00511,S_11,,,,0.828110805,,,
dstc6_00512,S_12,,,,0.786933787,,,
dstc6_00513,S_13,,,,0.771852939,,,
dstc6_00514,S_14,,,,0.965412705,,,
dstc6_00515,S_15,,,,0.889508355,,,
dstc6_00516,S_16,,,,0.936272195,,,
dstc6_00517,S_17,,,,0.931138185,,,
dstc6_00518,S_18,,,,0.764552019,,,
dstc6_00519,S_19,,,,0.714992067,,,
dstc6_00520,S_00,,,,0.912844542,,,
dstc6_00521,S_01,,,,0.76885417,,,
dstc6_00522,S_02,,,,0.79271839,,,
dstc6_00523,S_03,,,,0.757768121,,,
dstc6_00524,S_04,,,,0.840123298,,,
dstc6_00525,S_05,,,,0.739768192,,,
dstc6_00526,S_06,,,,0.757768121,,,
dstc6_00527,S_07,,,,0.705737329,,,
dstc6_00528,S_08,,,,0.76885417,,,
dstc6_00529,S_09,,,,0.743947191,,,
dstc6_00530,S_10,,,,0.864982434,,,
dstc6_00531,S_11,,,,0.954338894,,,
dstc6_00532,S_12,,,,0.801085903,,,
dstc6_00533,S_13,,,,0.761610573,,,
dstc6_00534,S_14,,,,0.891304676,,,
dstc6_00535,S_15,,,,0.959503734,,,
dstc6_00536,S_16,,,,0.891304676,,,
dstc6_00537,S_17,,,,0.891304676,,,
dstc6_00538,S_18,,,,0.933679991,,,
dstc6_00539,S_19,,,,0.936832933,,,
dstc6_00540,S_00,,,,0.917079107,,,
dstc6_00541,S_01,,,,0.695857625,,,
dstc6_00542,S_02,,,,0.83142068,,,
dstc6_00543,S_03,,,,0.961994231,,,
dstc6_00544,S_04,,,,0.689473019,,,
dstc6_00545,S_05,,,,0.865328864,,,
dstc6_00546,S_06,,,,0.961994231,,,
dstc6_00547,S_07,,,,0.853458483,,,
dstc6_00548,S_08,,,,0.695857625,,,
dstc6_00549,S_09,,,,0.681209725,,,
dstc6_00550,S_10,,,,0.880903377,,,
dstc6_00551,S_11,,,,0.736047437,,,
dstc6_00552,S_12,,,,0.896971276,,,
dstc6_00553,S_13,,,,0.722152803,,,
dstc6_00554,S_14,,,,0.870551584,,,
dstc6_00555,S_15,,,,0.955863466,,,
dstc6_00556,S_16,,,,0.957541694,,,
dstc6_00557,S_17,,,,0.955863466,,,
dstc6_00558,S_18,,,,0.942286402,,,
dstc6_00559,S_19,,,,0.828317971,,,
dstc6_00560,S_00,,,,0.734894064,,,
dstc6_00561,S_01,,,,0.812426296,,,
dstc6_00562,S_02,,,,0.720600028,,,
dstc6_00563,S_03,,,,0.901167499,,,
dstc6_00564,S_04,,,,0.713000746,,,
dstc6_00565,S_05,,,,0.86417929,,,
dstc6_00566,S_06,,,,0.901167499,,,
dstc6_00567,S_07,,,,0.715635104,,,
dstc6_00568,S_08,,,,0.812426296,,,
dstc6_00569,S_09,,,,0.7598315,,,
dstc6_00570,S_10,,,,0.765504045,,,
dstc6_00571,S_11,,,,0.790465928,,,
dstc6_00572,S_12,,,,0.913118553,,,
dstc6_00573,S_13,,,,0.75987182,,,
dstc6_00574,S_14,,,,0.92747564,,,
dstc6_00575,S_15,,,,0.869456804,,,
dstc6_00576,S_16,,,,0.891481523,,,
dstc6_00577,S_17,,,,0.925814621,,,
dstc6_00578,S_18,,,,0.795834672,,,
